Date,Open,High,Low,Close,Adj Close,Volume
3/2/15,3.13,3.23,3.11,3.21,3.21,15638100
3/3/15,3.2,3.23,3.13,3.14,3.14,8644000
3/4/15,3.14,3.14,3.01,3.05,3.05,12122100
3/5/15,3.1,3.1,2.98,2.98,2.98,11472300
3/6/15,2.96,2.99,2.83,2.92,2.92,16785200
3/9/15,2.92,2.98,2.9,2.93,2.93,12405900
3/10/15,2.97,2.98,2.92,2.92,2.92,10312400
3/11/15,2.92,2.95,2.8,2.84,2.84,11772800
3/12/15,2.76,2.79,2.72,2.76,2.76,13847200
3/13/15,2.74,2.78,2.71,2.75,2.75,8098100
3/16/15,2.75,2.81,2.75,2.76,2.76,6132900
3/17/15,2.75,2.8,2.74,2.77,2.77,7742200
3/18/15,2.77,2.82,2.72,2.75,2.75,11385200
3/19/15,2.76,2.78,2.73,2.74,2.74,8819400
3/20/15,2.76,2.8,2.74,2.8,2.8,10764800
3/23/15,2.81,2.85,2.8,2.84,2.84,7450200
3/24/15,2.85,2.85,2.76,2.79,2.79,8724500
3/25/15,2.78,2.79,2.56,2.63,2.63,26985300
3/26/15,2.59,2.7,2.53,2.65,2.65,28286300
3/27/15,2.7,2.8,2.63,2.72,2.72,16844100
3/30/15,2.73,2.76,2.66,2.7,2.7,8557500
3/31/15,2.66,2.7,2.65,2.68,2.68,7025000
4/1/15,2.66,2.75,2.65,2.69,2.69,11240500
4/2/15,2.66,2.7,2.65,2.69,2.69,7047600
4/6/15,2.68,2.73,2.68,2.7,2.7,8178500
4/7/15,2.7,2.74,2.69,2.7,2.7,5738100
4/8/15,2.68,2.74,2.68,2.71,2.71,4349000
4/9/15,2.69,2.75,2.69,2.72,2.72,7127600
4/10/15,2.74,2.78,2.73,2.76,2.76,6184800
4/13/15,2.76,2.8,2.73,2.78,2.78,8391500
4/14/15,2.77,2.79,2.65,2.67,2.67,13364100
4/15/15,2.7,2.74,2.65,2.7,2.7,15281400
4/16/15,2.72,2.94,2.7,2.87,2.87,28617300
4/17/15,2.54,2.58,2.45,2.58,2.58,53185300
4/20/15,2.56,2.57,2.45,2.49,2.49,29164300
4/21/15,2.53,2.53,2.35,2.35,2.35,31279400
4/22/15,2.35,2.36,2.25,2.28,2.28,27634900
4/23/15,2.28,2.36,2.26,2.33,2.33,15130400
4/24/15,2.36,2.38,2.3,2.3,2.3,15001200
4/27/15,2.3,2.36,2.29,2.34,2.34,13486900
4/28/15,2.36,2.37,2.31,2.31,2.31,11448700
4/29/15,2.3,2.33,2.27,2.28,2.28,11870200
4/30/15,2.28,2.31,2.26,2.26,2.26,11465300
5/1/15,2.26,2.31,2.25,2.31,2.31,11662800
5/4/15,2.31,2.36,2.3,2.31,2.31,9670100
5/5/15,2.34,2.34,2.25,2.28,2.28,12371600
5/6/15,2.29,2.31,2.24,2.29,2.29,18492100
